,ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
30,31,I am a developer by profession,Prefer not to say,"Student, full-time",,Apples,,Something else,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification",,,3,2,"Developer, back-end",,,,,,Australia,,,Go;HTML/CSS;Java;JavaScript;Perl;Python;TypeScript,Go;HTML/CSS;JavaScript;Julia;PHP;Python;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript,Firebase Realtime Database;Microsoft Access,Firebase Realtime Database;Microsoft Access,Firebase Realtime Database;Microsoft Access,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS),Angular;Django;Flask;Node.js;React,Angular;Django;Flask;Next.js;Node.js,Angular;Django;Flask;Node.js,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Cordova;Keras;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow,Cordova;Keras;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow,Cordova;Keras;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow,Chocolatey;Visual Studio Solution,Visual Studio Solution,Visual Studio Solution,Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,Jupyter Notebook/JupyterLab;Sublime Text;Vim;Visual Studio Code,Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,Ubuntu;Windows,MacOS,Markdown File,Markdown File,Markdown File,Discord;Google Chat;Google Meet,Discord,Discord,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,,Yes,A few times per week,Quickly finding code solutions;Showcase expertise with code solutions;Other (please specify):,"Yes, definitely",Yes,Indifferent,Speed up learning;Make workload more manageable,Somewhat distrust,Neither good or bad at handling complex tasks,Debugging and getting help;Search for answers,Learning about a codebase,,,,,Debugging and getting help;Search for answers,,No,Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
70,71,"I used to be a developer by profession, but no longer am",35-44 years old,"Not employed, and not looking for work",,Apples,,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Books;Written Tutorials;Stack Overflow;Interactive tutorial,,2,,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,,,,,,,,,,,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,Quickly finding code solutions,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
109,110,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time",,Apples,,Some college/university study without earning a degree,"Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification;Friend or family member;Other (please specify):","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;Interactive tutorial;AI;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free),10,Less than 1 year,Student,,,,,,Australia,,,HTML/CSS;Java;JavaScript;Prolog;Scala;TypeScript,Scala,Scala,Dynamodb,,,Amazon Web Services (AWS);PythonAnywhere,,,Flask;Node.js;React;Svelte;Vue.js,,,,,,NumPy,,,Gradle;Pip;Vite,,,Visual Studio Code,Visual Studio Code,Visual Studio Code,Android;iPadOS;Windows;Windows Subsystem for Linux (WSL),,GitHub Discussions;Markdown File;Stack Overflow for Teams,GitHub Discussions;Markdown File;Stack Overflow for Teams,GitHub Discussions;Markdown File;Stack Overflow for Teams,Discord;Microsoft Teams;Slack;Zoom,Discord,Discord,ChatGPT;Claude;Codeium;GitHub Copilot;Google Gemini;Visual Studio Intellicode,,,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API,Daily or almost daily,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable,Somewhat trust,"Good, but not great at handling complex tasks",Writing code;Generating content or synthetic data,Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring,Learning about a codebase;Project planning;Predictive analytics;Search for answers,Writing code,,Generating content or synthetic data,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
143,144,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed;Student, part-time;Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects;School or academic work;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Interactive tutorial;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,5,1,Educator,,,,,,Australia,,,Assembly;Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,Haskell;HTML/CSS;Python;Rust;SQL;TypeScript,HTML/CSS;Python;Rust;TypeScript,,,,Cloudflare,Cloudflare,Cloudflare,Express;Flask;Next.js;Node.js;React;Svelte,Express;Flask;Node.js;React;Svelte,Express;Flask;Node.js;React;Svelte,Cargo;LLVM's Clang,Cargo,Cargo,,,,npm;Pip;Yarn,Nix;npm;Pip;Vite,npm;Pip,Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,Jupyter Notebook/JupyterLab;Nano;Visual Studio Code,Android;Fedora;Windows;Windows Subsystem for Linux (WSL),Debian;Fedora;MacOS;Windows;Windows Subsystem for Linux (WSL),GitHub Discussions;Markdown File;Obsidian;Redmine;Trello,Markdown File;Obsidian,Markdown File;Obsidian,Discord;Microsoft Teams;Skype;Slack;Zoom,Discord;Zoom,Discord;Zoom,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,,
239,240,I am a developer by profession,25-34 years old,"Not employed, but looking for work",,Apples,,Primary/elementary school,Coding Bootcamp,,,5,2,"Developer, mobile",,,,,,Australia,,,C;C++;Dart;HTML/CSS;Java;PHP;Python;SQL,C#;Dart;Kotlin;R;Swift,Dart,Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;SQLite,BigQuery;Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;Oracle;Redis;SQLite;Supabase,Cloud Firestore;Firebase Realtime Database;Microsoft SQL Server;MongoDB;SQLite,Firebase,Firebase,Firebase,,,,,,,Flutter;Pandas,Flutter;Pandas,Flutter;Pandas,,,,Android Studio;Notepad++;PyCharm;Spyder;Visual Studio Code,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Ubuntu;Windows,Red Hat;Ubuntu;Windows,,,,Microsoft Teams,Microsoft Teams,Microsoft Teams,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-everyone technology/techniques,"Yes, definitely","No, but I plan to soon",Favorable,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,365,I am a developer by profession,45-54 years old,"Employed, full-time",Remote,Apples,Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,30,25,"Developer, full-stack",,,,,,Australia,,,HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;SQL,Oracle,Oracle,Oracle,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),,,,,,,,,,,,,Visual Studio Code,Visual Studio Code,Visual Studio Code,Windows,Windows,Confluence;Jira;Trello,Trello,Trello,Slack;Zoom,Slack;Zoom,Slack;Zoom,,,,Stack Overflow,Less than once per month or monthly,Yes,Less than once per month or monthly,Finding reliable guidance from community-vetted answers,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,Yes,Individual contributor,25.0,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Never,1-2 times a week,Never,Less than 15 minutes a day,15-30 minutes a day,Complexity of tech stack for deployment,Automated testing;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,30.0,0.0,0.0,40.0,0.0,0.0,30.0,0.0,0.0,Appropriate in length,Easy,,10.0
523,524,I am a developer by profession,18-24 years old,"Not employed, but looking for work",,Apples,,Some college/university study without earning a degree,Coding Bootcamp,,,Less than 1 year,Less than 1 year,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have little or no influence,Ask developers I know/work with,Out-of-the-box is ready to go with little need for customization,APIs;Reputation for quality and excellence;Frequent updates to features,Australia,KMF	Comorian franc,,JavaScript;TypeScript,C;Python,,Firebase Realtime Database;MongoDB;PostgreSQL,BigQuery,,Firebase,Amazon Web Services (AWS);Cloudflare,,Express;jQuery;Next.js;Node.js;React,ASP.NET;ASP.NET CORE;NestJS,,,,,,,,npm;Pip;pnpm,Yarn,,Visual Studio Code,,,Windows,,,,,Whatsapp,,,ChatGPT;Visual Studio Intellicode,,,Stack Overflow,Daily or almost daily,Yes,A few times per week,Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat","No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,,
1087,1088,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Video-based Online Courses;Written-based Online Courses,,7,4,"Developer, full-stack",,,,,,Australia,,,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,F#;Go;Kotlin;Rust,Go,Microsoft SQL Server;PostgreSQL;SQLite,PostgreSQL,PostgreSQL,Cloudflare;Microsoft Azure,,,Angular;ASP.NET CORE;Blazor;Htmx;Symfony,Vue.js,,,,,.NET (5+) ;RabbitMQ,Opencv;Pandas,,Docker;MSBuild;npm;NuGet;pnpm;Terraform,Docker;Kubernetes,Docker,Notepad++;Rider;Vim;Visual Studio;Visual Studio Code,,,Ubuntu,Ubuntu;Windows;Windows Subsystem for Linux (WSL),Confluence;Obsidian,,,Microsoft Teams,,,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"No, not at all",Yes,Indifferent,Increase productivity;Speed up learning,Neither trust nor distrust,Neither good or bad at handling complex tasks,Writing code;Search for answers,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Generating content or synthetic data,,,,Writing code,,,No,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,,Yes,Individual contributor,4.0,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Never,Never,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components;Reliability of tools/systems used in work,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,"Transportation, or Supply Chain",90.0,0.0,0.0,90.0,90.0,90.0,90.0,60.0,0.0,Appropriate in length,Easy,,6.0
1485,1486,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Friend or family member",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial;Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,14,4,Cloud infrastructure engineer,500 to 999 employees,I have little or no influence,Start a free trial;Ask developers I know/work with;Research companies that have advertised on sites I visit;Research companies that have emailed me,Is ready-to-go but also customizable for growth and targeted use cases,APIs;Reputation for quality and excellence;Frequent updates to features;Connected to an open source project,Australia,AUD	Australian dollar,165000.0,Bash/Shell (all shells);C;Go;Groovy;HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Lua;Rust,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;Rust,Dynamodb;Elasticsearch;PostgreSQL,Databricks SQL;Dynamodb;PostgreSQL;Redis,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Amazon Web Services (AWS);Cloudflare,,,,CMake;Cargo;GNU GCC;Ninja,Cargo;GNU GCC;Ninja,Cargo;GNU GCC;Ninja,,,,Ansible;APT;Docker;Homebrew;Kubernetes;npm;Pacman;Pip;Terraform,APT;Bun;Docker;Homebrew;Kubernetes;Ninja;Nix;Pacman;Terraform,APT;Docker;Homebrew;Kubernetes;Pacman;Terraform,Neovim;Vim;Visual Studio Code,Neovim;Vim;Visual Studio Code,Neovim;Vim;Visual Studio Code,Arch,MacOS,Confluence;Jira,GitHub Discussions,,Slack;Zoom,Slack;Zoom,Slack;Zoom,,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,Neutral,"No, but I plan to soon",Indifferent,,,,,,,,,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,Lack of executive buy-in;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,4.0,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,1-2 times a week,6-10 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components,Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Banking/Financial Services,10.0,10.0,5.0,10.0,15.0,10.0,25.0,5.0,10.0,Appropriate in length,Easy,109009.0,7.0
1740,1741,I code primarily as a hobby,65 years or older,Retired,,Apples,,"Associate degree (A.A., A.S., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Coding Bootcamp",Technical documentation;Blogs;Books;Coding sessions (live or recorded);Social Media;How-to videos;Video-based Online Courses,User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free),43,,"Developer, desktop or enterprise applications",,,,,,Australia,,,Delphi,Delphi,Delphi,,,,,,,,,,,,,,,,,,,Notepad++,Notepad++,Notepad++,Windows,Windows,,,,Skype;Whatsapp;Zoom,Skype;Whatsapp;Zoom,Skype;Whatsapp;Zoom,ChatGPT;Google Gemini,ChatGPT;Google Gemini,ChatGPT;Google Gemini,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,Quickly finding code solutions,"No, not really",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Documenting code;Search for answers,,,,Documenting code,Learning about a codebase;Writing code;Search for answers,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,,
